sigungu,mdate,mdate_origin,rate_lag,d_job,S_lag,S,A,L,ksic1_code,ksic1,jobbig_code,job_big
전국,01-May,2011년05월,0.005322426,"55,384","10,405,782","10,456,759","508,240","452,856",22,전산업,20,전직종
전국,01-Jun,2011년06월,0.001163554,"12,167","10,456,759","10,472,283","440,508","428,341",22,전산업,20,전직종
전국,01-Jul,2011년07월,-0.000796101,"-8,337","10,472,283","10,482,843","501,104","509,441",22,전산업,20,전직종
전국,01-Aug,2011년08월,0.003481308,"36,494","10,482,843","10,513,279","453,385","416,891",22,전산업,20,전직종
전국,01-Sep,2011년09월,0.004249483,"44,676","10,513,279","10,565,617","470,201","425,525",22,전산업,20,전직종
전국,01-Oct,2011년10월,0.006749535,"71,313","10,565,617","10,625,266","480,197","408,884",22,전산업,20,전직종
전국,01-Nov,2011년11월,0.006852534,"72,810","10,625,266","10,689,204","481,550","408,740",22,전산업,20,전직종
전국,01-Dec,2011년12월,-0.001921939,"-20,544","10,689,204","10,675,437","409,262","429,806",22,전산업,20,전직종
전국,01-Jan,2012년01월,-0.006704269,"-71,571","10,675,437","10,601,936","520,189","591,760",22,전산업,20,전직종
전국,01-Feb,2012년02월,0.006911285,"73,273","10,601,936","10,686,666","501,799","428,526",22,전산업,20,전직종
전국,01-Mar,2012년03월,0.006693294,"71,529","10,686,666","10,750,548","676,378","604,849",22,전산업,20,전직종
전국,01-Apr,2012년04월,0.009726667,"104,567","10,750,548","10,856,400","594,090","489,523",22,전산업,20,전직종
전국,01-May,2012년05월,0.006313142,"68,538","10,856,400","10,922,932","498,816","430,278",22,전산업,20,전직종
전국,01-Jun,2012년06월,0.002662838,"29,086","10,922,932","10,958,902","456,765","427,679",22,전산업,20,전직종
전국,01-Jul,2012년07월,0.000829006,"9,085","10,958,902","10,970,725","536,785","527,700",22,전산업,20,전직종
전국,01-Aug,2012년08월,0.003356661,"36,825","10,970,725","11,015,969","466,728","429,903",22,전산업,20,전직종
전국,01-Sep,2012년09월,0.004119383,"45,379","11,015,969","11,067,737","476,997","431,618",22,전산업,20,전직종
전국,01-Oct,2012년10월,0.005282381,"58,464","11,067,737","11,113,233","461,305","402,841",22,전산업,20,전직종
전국,01-Nov,2012년11월,0.00450175,"50,029","11,113,233","11,164,490","468,970","418,941",22,전산업,20,전직종
전국,01-Dec,2012년12월,-0.001778854,"-19,860","11,164,490","11,152,354","387,164","407,024",22,전산업,20,전직종
전국,01-Jan,2013년01월,-0.007889186,"-87,983","11,152,354","11,063,734","571,514","659,497",22,전산업,20,전직종
